Index,File,Time,Battery (V),Temperature (C),Comment
0,20230511_103000.WAV,2023-05-11T10:30:00+00:00,4.2,20.4,Recorded at 10:30:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 20.4C.
1,20230511_104000.WAV,2023-05-11T10:40:00+00:00,4.2,22.1,Recorded at 10:40:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 22.1C.
2,20230511_105000.WAV,2023-05-11T10:50:00+00:00,4.2,24.5,Recorded at 10:50:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 24.5C.
3,20230511_110000.WAV,2023-05-11T11:00:00+00:00,4.2,24.8,Recorded at 11:00:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 24.8C.
4,20230511_111000.WAV,2023-05-11T11:10:00+00:00,4.2,26.1,Recorded at 11:10:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 26.1C.
5,20230511_112000.WAV,2023-05-11T11:20:00+00:00,4.2,27.1,Recorded at 11:20:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 27.1C.
6,20230511_113000.WAV,2023-05-11T11:30:00+00:00,4.2,29.4,Recorded at 11:30:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 29.4C.
7,20230511_114000.WAV,2023-05-11T11:40:00+00:00,4.2,30.4,Recorded at 11:40:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 30.4C.
8,20230511_115000.WAV,2023-05-11T11:50:00+00:00,4.2,31.2,Recorded at 11:50:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 31.2C.
9,20230511_120000.WAV,2023-05-11T12:00:00+00:00,4.2,30.6,Recorded at 12:00:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 30.6C.
10,20230511_121000.WAV,2023-05-11T12:10:00+00:00,4.2,31.8,Recorded at 12:10:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 31.8C.
11,20230511_122000.WAV,2023-05-11T12:20:00+00:00,4.2,31.8,Recorded at 12:20:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 31.8C.
12,20230511_123000.WAV,2023-05-11T12:30:00+00:00,4.2,32.3,Recorded at 12:30:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 32.3C.
13,20230511_124000.WAV,2023-05-11T12:40:00+00:00,4.2,32.6,Recorded at 12:40:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 32.6C.
14,20230511_125000.WAV,2023-05-11T12:50:00+00:00,4.2,32.3,Recorded at 12:50:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 32.3C.
15,20230511_130000.WAV,2023-05-11T13:00:00+00:00,4.2,32.9,Recorded at 13:00:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 32.9C.
16,20230511_131000.WAV,2023-05-11T13:10:00+00:00,4.2,32.8,Recorded at 13:10:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 32.8C.
17,20230511_132000.WAV,2023-05-11T13:20:00+00:00,4.2,32.9,Recorded at 13:20:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.2V and temperature was 32.9C.
18,20230511_133000.WAV,2023-05-11T13:30:00+00:00,4.3,34.7,Recorded at 13:30:00 11/05/2023 (UTC) by AudioMoth 24E144015CC5EE42 at medium gain while battery was 4.3V and temperature was 34.7C.
